[Mon Feb 27 14:47:56.484075 2017] [:error] [pid 26110] [client 127.0.0.1:33448] PHP Fatal error:  Interface 'Entities\\Model\\EntityRepositoryInterface' not found in /home/vidok/sites/ogame.zz/module/Entities/src/Model/TechnologyRepository.php on line 19, referer: http://ogame.zz/entities
[Mon Feb 27 15:27:51.254143 2017] [:error] [pid 26100] [client 127.0.0.1:33554] PHP Parse error:  syntax error, unexpected 'throw' (T_THROW) in /home/vidok/sites/ogame.zz/module/Entities/src/Classes/XmiParser.php on line 37, referer: http://ogame.zz/entities
[Mon Feb 27 15:28:26.878046 2017] [:error] [pid 26100] [client 127.0.0.1:33554] PHP Parse error:  syntax error, unexpected 'throw' (T_THROW) in /home/vidok/sites/ogame.zz/module/Entities/src/Classes/XmiParser.php on line 37, referer: http://ogame.zz/entities
[Mon Feb 27 15:32:51.929672 2017] [:error] [pid 26061] [client 127.0.0.1:33558] PHP Notice:  Undefined variable: matches in /home/vidok/sites/ogame.zz/module/Entities/src/Classes/XmiParser.php on line 38, referer: http://ogame.zz/entities
[Mon Feb 27 16:23:12.801741 2017] [:error] [pid 26057] [client 127.0.0.1:33690] PHP Fatal error:  Interface 'Entities\\Model\\EntityCommandInterface' not found in /home/vidok/sites/ogame.zz/module/Entities/src/Model/TechnologyCommand.php on line 13, referer: http://ogame.zz/entities
[Mon Feb 27 16:24:07.012338 2017] [:error] [pid 26057] [client 127.0.0.1:33690] PHP Fatal error:  Declaration of Entities\\Model\\TechnologyCommand::insertEntity() must be compatible with Universe\\Model\\EntityCommandInterface::insertEntity(Universe\\Model\\Entity $entity) in /home/vidok/sites/ogame.zz/module/Entities/src/Model/TechnologyCommand.php on line 14, referer: http://ogame.zz/entities
[Mon Feb 27 16:28:08.953578 2017] [:error] [pid 26060] [client 127.0.0.1:33726] PHP Fatal error:  Class Entities\\Model\\TechnologyCommand contains 1 abstract method and must therefore be declared abstract or implement the remaining methods (Universe\\Model\\EntityCommandInterface::deleteEntity) in /home/vidok/sites/ogame.zz/module/Entities/src/Model/TechnologyCommand.php on line 122, referer: http://ogame.zz/entities
[Mon Feb 27 16:28:55.806886 2017] [:error] [pid 26060] [client 127.0.0.1:33726] PHP Catchable fatal error:  Argument 2 passed to Entities\\Controller\\TechLoadController::__construct() must be an instance of Entities\\Controller\\TechnologyCommand, instance of Entities\\Model\\TechnologyCommand given, called in /home/vidok/sites/ogame.zz/module/Entities/src/Factory/TechLoadControllerFactory.php on line 24 and defined in /home/vidok/sites/ogame.zz/module/Entities/src/Controller/TechLoadController.php on line 57, referer: http://ogame.zz/entities
[Mon Feb 27 16:40:55.261294 2017] [:error] [pid 26114] [client 127.0.0.1:33757] PHP Parse error:  syntax error, unexpected '{' in /home/vidok/sites/ogame.zz/module/Entities/src/Controller/TechLoadController.php on line 68, referer: http://ogame.zz/entities
[Mon Feb 27 16:53:18.703118 2017] [:error] [pid 26059] [client 127.0.0.1:33823] PHP Fatal error:  Call to undefined method SimpleXMLElement::@attributes() in /home/vidok/sites/ogame.zz/module/Entities/src/Controller/TechLoadController.php on line 69, referer: http://ogame.zz/entities
[Mon Feb 27 16:53:55.840655 2017] [:error] [pid 26059] [client 127.0.0.1:33823] PHP Fatal error:  Call to undefined method SimpleXMLElement::@attributes() in /home/vidok/sites/ogame.zz/module/Entities/src/Controller/TechLoadController.php on line 69, referer: http://ogame.zz/entities
[Mon Feb 27 20:19:30.940713 2017] [:error] [pid 27305] [client 127.0.0.1:34149] PHP Fatal error:  Cannot use isset() on the result of a function call (you can use "null !== func()" instead) in /home/vidok/sites/ogame.zz/module/Entities/src/Controller/TechLoadController.php on line 71, referer: http://ogame.zz/entities
[Mon Feb 27 20:20:25.561071 2017] [:error] [pid 27305] [client 127.0.0.1:34149] PHP Fatal error:  Call to undefined method SimpleXMLElement::@attributes() in /home/vidok/sites/ogame.zz/module/Entities/src/Controller/TechLoadController.php on line 71, referer: http://ogame.zz/entities
[Mon Feb 27 20:21:47.844157 2017] [:error] [pid 26114] [client 127.0.0.1:34154] PHP Fatal error:  Call to undefined method SimpleXMLElement::XMI.Classifier.feature() in /home/vidok/sites/ogame.zz/module/Entities/src/Controller/TechLoadController.php on line 76, referer: http://ogame.zz/entities
[Mon Feb 27 20:37:37.904272 2017] [:error] [pid 27305] [client 127.0.0.1:34186] PHP Fatal error:  Call to undefined method SimpleXMLElement::XMI.Classifier.feature() in /home/vidok/sites/ogame.zz/module/Entities/src/Controller/TechLoadController.php on line 76, referer: http://ogame.zz/entities
[Mon Feb 27 20:38:57.156585 2017] [:error] [pid 26061] [client 127.0.0.1:34191] PHP Fatal error:  Call to undefined method SimpleXMLElement::XMI.Classifier.feature() in /home/vidok/sites/ogame.zz/module/Entities/src/Controller/TechLoadController.php on line 77, referer: http://ogame.zz/entities
[Mon Feb 27 20:39:48.647804 2017] [:error] [pid 26061] [client 127.0.0.1:34191] PHP Fatal error:  Call to undefined method SimpleXMLElement::XMI.Classifier.feature() in /home/vidok/sites/ogame.zz/module/Entities/src/Controller/TechLoadController.php on line 77, referer: http://ogame.zz/entities
[Mon Feb 27 20:45:47.159401 2017] [:error] [pid 26060] [client 127.0.0.1:34220] PHP Fatal error:  Class 'Entities\\Controller\\Technology' not found in /home/vidok/sites/ogame.zz/module/Entities/src/Controller/TechLoadController.php on line 87, referer: http://ogame.zz/entities
[Mon Feb 27 23:31:52.858138 2017] [:error] [pid 26060] [client 127.0.0.1:35370] PHP Catchable fatal error:  Argument 3 passed to Entities\\Controller\\TechLoadController::__construct() must be an instance of Entities\\Model\\TechnologyConnectionCommand, none given, called in /home/vidok/sites/ogame.zz/module/Entities/src/Factory/TechLoadControllerFactory.php on line 24 and defined in /home/vidok/sites/ogame.zz/module/Entities/src/Controller/TechLoadController.php on line 70, referer: http://ogame.zz/entities
